Date/Time,COM1.ID001-2704-V509.LP1_VIEW.Main.wSP,COM1.ID001-2704-V509.LP1_VIEW.Main.PV,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val0,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val1,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val2,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val3,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val4,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val5,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val6,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val7
42710.8206577431,80.25445,83.52135,84.6,85.2,69,68.2,69.4,68.4,69.2,68.4
42710.8210047917,82.71515,91.38082,84.8,85.6,68.9,68.3,69.3,68.3,69.1,68.1
42710.8213521875,85.17585,93.08139,85.1,85.7,68.9,68.1,69.2,68.3,69.1,68.1
42710.8216992361,87.62754,94.34246,85.3,86,68.9,68.5,69.1,68.3,69.1,67.9
42710.8220464583,90.08824,95.22149,85.6,86.2,68.8,68.4,69.1,68.2,69.1,68.1
42710.8223936806,92.54894,95.54333,85.8,86.3,68.8,68.2,69,68.2,69,68.1
42710.8227409028,95.00063,95.94315,86,86.6,68.7,67.9,69,68.1,69,67.4
42710.8230881250,97.46133,96.43109,86.2,86.7,68.7,68.4,69,68.2,69,67.9
42710.8234353472,99.92203,96.90485,86.6,87,68.7,68.1,69,68.1,69,67.6
42710.8237825694,102.3827,97.46015,86.8,87.2,68.6,68.3,69,68.1,69,67.7
42710.8241297916,104.8344,98.28142,87.1,87.4,68.5,68,68.9,68.1,69,68
42710.8244770138,107.2951,99.18835,87.4,87.6,68.5,67.9,68.9,68.1,68.9,67.7
42710.8248242361,109.7558,100.3795,87.7,87.9,68.5,67.8,68.9,68.1,69,67.8
