Date/Time,COM1.ID001-2704-V509.LP1_VIEW.Main.wSP,COM1.ID001-2704-V509.LP1_VIEW.Main.PV,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val0,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val1,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val2,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val3,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val4,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val5,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val6,COM1.ID001-2704-V509.ANALOG_SWITCH.Switch_1.Val7
42710.82066,80.25445,83.52135,84.6,85.2,69,68.2,69.4,68.4,69.2,68.4
42710.821,82.71515,91.38082,84.8,85.6,68.9,68.3,69.3,68.3,69.1,68.1
42710.82135,85.17585,93.08139,85.1,85.7,68.9,68.1,69.2,68.3,69.1,68.1
42710.8217,87.62754,94.34246,85.3,86,68.9,68.5,69.1,68.3,69.1,67.9
42710.82205,90.08824,95.22149,85.6,86.2,68.8,68.4,69.1,68.2,69.1,68.1
42710.82239,92.54894,95.54333,85.8,86.3,68.8,68.2,69,68.2,69,68.1
42710.82274,95.00063,95.94315,86,86.6,68.7,67.9,69,68.1,69,67.4
42710.82309,97.46133,96.43109,86.2,86.7,68.7,68.4,69,68.2,69,67.9
42710.82344,99.92203,96.90485,86.6,87,68.7,68.1,69,68.1,69,67.6
42710.82378,102.3827,97.46015,86.8,87.2,68.6,68.3,69,68.1,69,67.7
42710.82413,104.8344,98.28142,87.1,87.4,68.5,68,68.9,68.1,69,68
42710.82448,107.2951,99.18835,87.4,87.6,68.5,67.9,68.9,68.1,68.9,67.7
42710.82482,109.7558,100.3795,87.7,87.9,68.5,67.8,68.9,68.1,69,67.8
42710.82517,112.2075,101.4361,88.1,88.2,68.5,67.8,68.9,68.1,68.9,67.6
42710.82552,114.6682,102.8953,88.1,88.2,68.5,68.1,68.9,68.1,68.9,67.5
42710.82587,117.1289,104.2881,88.1,88.2,68.5,68.1,68.9,68.1,68.9,67.5
42710.82621,119.5896,105.9792,89.2,89.2,68.5,68,68.8,68.1,68.9,67.8
42710.82656,122.0413,112.2979,89.7,89.7,68.5,67.9,68.9,68,68.9,67.7
42710.82691,124.502,116.7176,90,89.9,68.5,67.8,68.9,68,68.9,67.8
42710.82725,126.9627,119.627,90,89.9,68.5,67.8,68.9,68,68.9,67.8
42710.8276,129.4234,122.4602,91.6,91.2,68.6,68.1,69,68.1,68.9,67.7
42710.82795,131.8751,125.0922,91.6,91.2,68.6,68.1,69,68.1,68.9,67.7
42710.8283,134.3358,127.5782,93.2,92.4,68.7,67.9,69.1,68.2,69,67.8
42710.82864,136.7965,129.9784,94.1,93.1,68.8,68.3,69.1,68.2,68.9,67.8
42710.82899,139.2482,132.2957,94.8,93.8,68.8,68.1,69.1,68.1,68.9,68
42710.82934,141.7089,134.5941,95.7,94.5,68.9,68.1,69.3,68.3,69.1,67.9
42710.82969,144.1696,136.7807,96.6,95.2,69,68.3,69.3,68.3,69.1,68
